1,1,1128.92,261.16,113.93,233.03,0.89,-1,-1,-1
1,2,170.89,307.76,72.50,170.89,0.82,-1,-1,-1
2,1,1126.70,260.89,114.58,234.38,0.89,-1,-1,-1
2,2,171.81,307.95,72.40,170.65,0.82,-1,-1,-1
3,1,1125.39,260.96,115.15,235.53,0.89,-1,-1,-1
3,2,172.30,308.00,72.43,170.72,0.82,-1,-1,-1
4,1,1124.08,261.12,115.96,237.19,0.89,-1,-1,-1
4,2,172.69,307.77,72.55,171.01,0.82,-1,-1,-1
5,1,1126.84,259.20,116.13,237.85,0.82,-1,-1,-1
5,2,175.45,307.73,72.34,170.98,0.82,-1,-1,-1
6,1,1125.97,259.24,116.44,238.48,0.82,-1,-1,-1
6,2,175.74,307.48,72.55,171.48,0.82,-1,-1,-1
7,1,1125.22,259.86,116.21,238.01,0.82,-1,-1,-1
7,2,176.13,307.11,72.84,172.17,0.82,-1,-1,-1
8,1,1124.78,260.48,116.02,237.63,0.82,-1,-1,-1
8,2,176.43,306.91,72.96,172.47,0.82,-1,-1,-1
9,1,1125.48,262.58,112.57,230.71,0.89,-1,-1,-1
9,2,181.37,309.50,70.29,167.38,0.82,-1,-1,-1
9,3,10.34,163.28,89.10,449.50,0.91,-1,-1,-1
10,1,1124.81,263.42,112.49,230.55,0.89,-1,-1,-1
10,2,182.29,309.64,70.16,167.09,0.82,-1,-1,-1
10,3,12.80,163.55,88.92,448.58,0.91,-1,-1,-1
11,1,1124.26,263.27,112.91,231.39,0.89,-1,-1,-1
11,2,182.82,309.57,70.21,167.20,0.82,-1,-1,-1
11,3,14.44,163.54,88.84,448.20,0.91,-1,-1,-1
12,1,1123.96,262.77,113.37,232.33,0.89,-1,-1,-1
12,2,183.44,309.48,70.30,167.40,0.82,-1,-1,-1
12,3,16.15,163.76,88.71,447.53,0.91,-1,-1,-1
13,1,1115.12,257.80,116.66,239.82,0.89,-1,-1,-1
13,2,187.58,310.39,69.08,165.60,0.71,-1,-1,-1
13,3,15.95,157.12,90.53,453.92,0.89,-1,-1,-1
14,1,1114.56,256.80,117.54,241.62,0.89,-1,-1,-1
14,2,188.10,310.11,69.28,166.08,0.71,-1,-1,-1
14,3,17.67,157.36,90.40,453.27,0.89,-1,-1,-1
15,1,1113.62,255.77,118.28,243.14,0.89,-1,-1,-1
15,2,188.53,309.67,69.56,166.74,0.71,-1,-1,-1
15,3,21.52,158.10,89.66,449.54,0.89,-1,-1,-1
16,1,1112.71,254.93,118.91,244.45,0.89,-1,-1,-1
16,2,188.93,309.28,69.83,167.39,0.71,-1,-1,-1
16,3,24.98,158.57,89.24,447.41,0.89,-1,-1,-1
17,1,1107.55,255.61,118.30,243.57,0.82,-1,-1,-1
17,2,192.46,305.08,70.15,169.09,0.64,-1,-1,-1
17,3,26.36,160.58,91.20,450.91,0.91,-1,-1,-1
17,4,1229.00,230.60,50.48,252.71,0.76,-1,-1,-1
