1,1,1066.78,372.50,41.43,82.86,0.82,-1,-1,-1
1,2,0.00,452.76,31.07,139.82,0.82,-1,-1,-1
1,3,908.83,341.42,25.89,72.50,0.76,-1,-1,-1
1,4,1012.40,372.50,36.25,82.86,0.76,-1,-1,-1
1,5,181.25,393.21,31.07,93.21,0.71,-1,-1,-1
2,1,1070.79,372.16,41.73,83.46,0.82,-1,-1,-1
2,4,1015.62,371.51,36.48,83.39,0.76,-1,-1,-1
2,5,176.08,384.44,31.78,95.33,0.71,-1,-1,-1
3,1,1076.27,367.69,41.74,83.49,0.82,-1,-1,-1
3,4,1020.60,368.18,36.65,83.78,0.76,-1,-1,-1
3,5,173.03,397.61,32.19,96.58,0.71,-1,-1,-1
4,1,1084.48,365.98,43.58,87.25,0.76,-1,-1,-1
4,2,-3.31,461.75,28.71,130.83,0.57,-1,-1,-1
4,3,913.38,341.42,25.79,72.50,0.76,-1,-1,-1
4,4,1026.70,371.90,36.43,83.51,0.76,-1,-1,-1
4,5,167.78,407.21,30.17,90.41,0.05,-1,-1,-1
5,1,1088.47,373.56,43.50,87.10,0.76,-1,-1,-1
5,4,1029.77,377.96,36.98,84.75,0.76,-1,-1,-1
5,5,161.48,401.96,31.07,93.12,0.05,-1,-1,-1
6,1,1094.80,381.71,43.36,86.82,0.76,-1,-1,-1
6,4,1035.17,385.20,37.74,86.51,0.76,-1,-1,-1
6,5,157.54,411.63,31.04,93.03,0.05,-1,-1,-1
7,1,1100.13,381.99,44.00,87.94,0.76,-1,-1,-1
7,3,925.64,343.44,27.03,76.54,0.71,-1,-1,-1
7,4,1038.63,387.55,34.81,79.99,0.76,-1,-1,-1
7,5,155.87,415.95,29.80,88.72,0.57,-1,-1,-1
8,1,1104.90,389.15,43.90,87.74,0.76,-1,-1,-1
8,4,1043.80,393.92,35.13,80.71,0.76,-1,-1,-1
8,5,150.08,420.05,29.71,88.45,0.57,-1,-1,-1
9,1,1109.54,394.59,43.53,87.01,0.76,-1,-1,-1
9,4,1048.01,397.29,35.78,82.21,0.76,-1,-1,-1
9,5,144.31,419.21,29.59,88.09,0.57,-1,-1,-1
